player,receptions,receiving_yards,receiving_tds,long_reception,year,opponent
Brad Novak,4,95,1,39,2016,Indiana University of Pennsylvania
Pierce Bauer,3,45,0,31,2016,Indiana University of Pennsylvania
Danavian Clay,5,33,0,9,2016,Indiana University of Pennsylvania
Richie Sanders,4,25,0,15,2016,Indiana University of Pennsylvania
Brian Matthews,3,18,0,11,2016,Indiana University of Pennsylvania
Drew Robinson,1,11,0,11,2016,Indiana University of Pennsylvania
Zach Smith,1,10,0,10,2016,Indiana University of Pennsylvania
Casey Kraft,1,6,0,6,2016,Indiana University of Pennsylvania
Bryce Mostoller,5,72,0,20,2016,Lock Haven University
Brad Novak,3,44,0,18,2016,Lock Haven University
Clay Waldron,1,39,1,39,2016,Lock Haven University
Richie Sanders,2,30,1,25,2016,Lock Haven University
Danavian Clay,2,23,0,15,2016,Lock Haven University
Pierce Bauer,3,22,0,15,2016,Lock Haven University
Drew Robinson,2,13,0,15,2016,Lock Haven University
Zach Smith,6,95,0,40,2017,Hillsdale College
Brad Novak,4,82,1,32,2017,Hillsdale College
Marcus Placke,1,28,0,28,2017,Hillsdale College
Garrett Owens,1,23,0,23,2017,Hillsdale College
Theo Blackston,3,16,0,9,2017,Hillsdale College
E'Andre Smith,1,8,0,8,2017,Hillsdale College
Brad Novak,6,72,0,17,2017,Kutztown University
Theo Blackston,3,30,0,23,2017,Kutztown University
Garrett Owens,3,29,1,27,2017,Kutztown University
E'Andre Smith,3,28,0,12,2017,Kutztown University
Danavian Clay,3,26,0,19,2017,Kutztown University
Zach Smith,3,18,0,9,2017,Kutztown University
Zach Smith,5,66,0,27,2017,East Stroudsburg University
Doug Altavilla,1,61,1,61,2017,East Stroudsburg University
Bryce Mostoller,4,51,0,21,2017,East Stroudsburg University
Theo Blackston,5,34,0,13,2017,East Stroudsburg University
Brad Novak,3,34,0,18,2017,East Stroudsburg University
Garrett Owens,1,25,0,25,2017,East Stroudsburg University
E'Andre Smith,1,6,0,6,2017,East Stroudsburg University
Brad Novak,4,95,1,38,2017,Clarion University
Zach Smith,4,67,0,24,2017,Clarion University
Marcus Placke,1,14,0,14,2017,Clarion University
Danavian Clay,1,13,0,13,2017,Clarion University
E'Andre Smith,4,12,0,11,2017,Clarion University
Bryce Mostoller,2,9,0,7,2017,Clarion University
Theo Blackston,2,8,1,7,2017,Clarion University
Garrett Owens,1,4,0,4,2017,Clarion University
Cameron Thompson,1,2,0,2,2017,Clarion University
Zach Smith,7,153,0,43,2017,Gannon University
Brad Novak,3,88,1,42,2017,Gannon University
Austin Hence,2,50,0,27,2017,Gannon University
Theo Blackston,2,21,0,18,2017,Gannon University
Garrett Owens,1,3,0,3,2017,Gannon University
C. Thompson,1,0,0,0,2017,Gannon University
Austin Hence,5,90,1,42,2017,Slippery Rock University
Brad Novak,7,85,1,26,2017,Slippery Rock University
Garrett Owens,6,57,0,23,2017,Slippery Rock University
Zach Smith,2,38,0,26,2017,Slippery Rock University
Theo Blackston,3,23,0,9,2017,Slippery Rock University
Marcus Placke,1,18,0,18,2017,Slippery Rock University
Bryce Mostoller,1,12,0,12,2017,Slippery Rock University
Joe Carbone,1,3,0,3,2017,Slippery Rock University
Brad Novak,6,62,1,24,2017,Edinboro University of Pennsylvania
Austin Hence,4,36,0,13,2017,Edinboro University of Pennsylvania
Theo Blackston,5,31,0,10,2017,Edinboro University of Pennsylvania
Bryce Mostoller,4,22,0,11,2017,Edinboro University of Pennsylvania
Zach Smith,1,15,0,15,2017,Edinboro University of Pennsylvania
C. Thompson,2,6,0,6,2017,Edinboro University of Pennsylvania
Grayson Taylor,1,1,0,1,2017,Edinboro University of Pennsylvania
Joe Carbone,2,-1,0,4,2017,Edinboro University of Pennsylvania
Brad Novak,8,93,2,19,2017,Seton Hill University
Zach Smith,2,21,0,13,2017,Seton Hill University
Bryce Mostoller,1,14,0,14,2017,Seton Hill University
Theo Blackston,1,3,1,3,2017,Seton Hill University
Brad Novak,5,107,1,41,2017,California University of Pennsylvania
Austin Hence,3,48,0,21,2017,California University of Pennsylvania
Marcus Placke,3,32,0,15,2017,California University of Pennsylvania
Theo Blackston,3,31,0,21,2017,California University of Pennsylvania
Garrett Owens,4,23,0,20,2017,California University of Pennsylvania
Doug Altavilla,1,17,0,17,2017,California University of Pennsylvania
Joe Carbone,1,10,0,10,2017,California University of Pennsylvania
Bryce Mostoller,1,6,0,6,2017,California University of Pennsylvania
Brad Novak,5,52,1,15,2017,Indiana University of Pennsylvania
Austin Hence,3,43,0,17,2017,Indiana University of Pennsylvania
Marcus Placke,2,15,0,10,2017,Indiana University of Pennsylvania
Grayson Taylor,1,14,0,14,2017,Indiana University of Pennsylvania
Zach Smith,3,8,0,7,2017,Indiana University of Pennsylvania
Garrett Owens,1,1,0,1,2017,Indiana University of Pennsylvania
Brad Novak,4,100,1,46,2017,Lock Haven University
Bryce Mostoller,1,14,0,14,2017,Lock Haven University
Clay Waldron,1,13,0,13,2017,Lock Haven University
Theo Blackston,3,12,1,7,2017,Lock Haven University
Joe Carbone,1,12,0,12,2017,Lock Haven University
Zach Smith,1,12,0,12,2017,Lock Haven University
Nick Altavilla,4,42,0,15,2018,Hillsdale College
Austin Hence,2,26,1,16,2018,Hillsdale College
Clay Waldron,2,20,0,11,2018,Hillsdale College
B. Mostoller,3,17,0,10,2018,Hillsdale College
Garrett Owens,3,15,0,9,2018,Hillsdale College
T. Blackston,1,12,0,12,2018,Hillsdale College
Marcus Placke,3,8,0,7,2018,Hillsdale College
Austin Hence,6,69,0,19,2018,Tiffin University (Ohio)
Marcus Placke,3,40,0,25,2018,Tiffin University (Ohio)
Garrett Owens,4,32,1,15,2018,Tiffin University (Ohio)
Clay Waldron,2,30,0,19,2018,Tiffin University (Ohio)
B. Mostoller,3,24,0,13,2018,Tiffin University (Ohio)
T. Blackston,2,10,0,8,2018,Tiffin University (Ohio)
